race_id,race_date,race_no,race_type,category,profile,horse_count,status,ideal_weight_json
225039,16.05.2026,7,KV-6/Dişi,KV,KV,9,ok,"{""degree_avg"": 20.622, ""distance_suit"": 9.604, ""form_trend"": 5.339, ""hp_score"": 47.005, ""jockey_score"": 17.43, ""pace_score"": 0.0}"
225044,16.05.2026,7,ŞARTLI 5/DHÖW/Dişi,SARTLI,SART5,9,ok,"{""bounce_score"": 12.405, ""degree_avg"": 24.75, ""degree_stability"": 14.826, ""distance_suit"": 4.825, ""hp_score"": 34.477, ""weight_impact"": 8.718}"
225029,16.05.2026,8,Maiden,MAIDEN,MAIDEN,9,ok,"{""bounce_score"": 1.813, ""degree_stability"": 29.138, ""degree_trend"": 8.538, ""distance_suit"": 0.145, ""form_trend"": 16.161, ""hp_score"": 36.276, ""jockey_score"": 0.653, ""pace_score"": 6.528, ""weight_impact"": 0.747}"
225041,16.05.2026,8,KV-6,KV,KV,8,ok,"{""bounce_score"": 11.889, ""degree_stability"": 16.034, ""distance_suit"": 2.957, ""form_trend"": 20.356, ""hp_score"": 44.112, ""pace_score"": 4.652}"
225032,16.05.2026,9,Maiden/DHÖ,MAIDEN,MAIDEN,11,ok,"{""bounce_score"": 22.429, ""degree_avg"": 14.24, ""degree_stability"": 24.232, ""distance_suit"": 22.063, ""form_trend"": 12.459, ""hp_score"": 4.577}"
225037,16.05.2026,9,Handikap 16 /H2,HANDIKAP,HANDIKAP16|Kum,10,ok,"{""bounce_score"": 15.92, ""degree_stability"": 33.821, ""degree_trend"": 0.491, ""distance_suit"": 2.86, ""form_trend"": 31.489, ""jockey_score"": 6.514, ""pace_score"": 8.904}"
225063,17.05.2026,1,ŞARTLI 19/DHÖW/Dişi,SARTLI,SARTLI,9,ok,"{""bounce_score"": 12.153, ""degree_avg"": 33.743, ""distance_suit"": 37.917, ""form_trend"": 14.312, ""jockey_score"": 1.875}"
225066,17.05.2026,2,ŞARTLI 4/DHÖW,SARTLI,SART4,7,ok,"{""bounce_score"": 10.438, ""degree_stability"": 32.637, ""degree_trend"": 13.686, ""form_trend"": 1.763, ""hp_score"": 14.405, ""pace_score"": 3.479, ""training_degree_score"": 11.529, ""weight_impact"": 12.062}"
225062,17.05.2026,3,ŞARTLI 19/DHÖW,SARTLI,SARTLI,5,ok,"{""bounce_score"": 16.598, ""degree_stability"": 19.527, ""distance_suit"": 24.995, ""form_trend"": 12.498, ""pace_score"": 2.929, ""training_degree_score"": 18.571, ""training_fitness"": 4.882}"
225060,17.05.2026,4,Handikap 16 /H2,HANDIKAP,HANDIKAP16,7,ok,"{""bounce_score"": 0.0, ""degree_avg"": 15.11, ""degree_stability"": 33.765, ""distance_suit"": 13.216, ""form_trend"": 14.745, ""hp_score"": 19.054, ""pace_score"": 3.323, ""training_fitness"": 0.787}"
